Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"TUMAAS ang presyo ng mga bilihin noong Enero, ayon sa Philippine Statistics Authority.",1. Economic,1. Economic,1. Economic,1. Economic
"MATINDI ang naging pananalasa ng bagyong Paeng sa ilang lugar sa Mindanao at dahil diyan, maraming netizens ang sumasaklolo sa social media.",10. Quality of Life,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nagpaabot ng pakikiramay si Presidential Communications Secretary Martin Andanar sa naulilang pamilya ni Dumanjug Mayor Nelson Garcia.,13. Political,13. Political,13. Political,13. Political
Virus mula China nakapasok? Western Visayas naka-alerto,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Dayuhan nagbigti sa Roxas Blvd,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
TINIYAK ni Trade Secretary Ramon Lopez na aabot sa limang milyong face masks ang parating matapos mangako ng suplay ang lokal na manufacturer sa Bataan sa harap ng banta ng coronavirus disease (COVID-19).,9. Health and Safety,9. Health and Safety,2. Capacity and Resources,9. Health and Safety
"2 banyaga, 1 Pinay dakip sa P4.08M shabu","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Meralco customers pinayuhan na hintayin ang bagong bill bago magbayad,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"SINIMULAN na sa Oxford, England ang unang human trial ng bakuna laban sa coronavirus.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Ginahasa ang flight attendant na si Christine Angelica Dacera, ayon sa imbistigasyon ng pulisya sa kasong naganap noong Bisperas ng Bagong Taon sa Makati City na itinuturing nitong sarado na.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Hindi ‘yan dahil sa talentong Pinoy, masarap na pagkain o magandang tanawin, ngunit dahil sa bagong itsura ng isang pera na papel.",11. Cultural Identity,15. Other,15. Other,15. Other
"Workshop sa paggawa ng ceramic dildo, lumikha ng malaking kontrobersiya sa New Zealand",15. Other,15. Other,15. Other,15. Other
NAG-ALOK ng pabuya ang Rizal Provincial government sa makapagtuturo sa tumambang kay Teresa Mayor Rail Palino kahapon.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Kaso ng COVID-19 sa PH umakyat na sa 380; nasawi nasa 25,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
WALONG lugar sa bansa ang positibo sa tinatawag na “toxic red tide.”,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
HINILING ng National  Commission sa Korte Suprema na huwag pagbigyan ang hiling na temporary restraining order ng ABS-CBN laban sa cease and desist order nito.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Gaano raw ba kahirap magpakita ng simpatya sa panahong ito?,3. Morality,3. Morality,15. Other,3. Morality
Mensahe ni PBBM ngayong Semana Santa: Maging daan tungo sa pagbabago at tagapaghatid ng katotohanan,3. Morality,3. Morality,3. Morality,3. Morality
PUMALO na sa 55 ang bilang ng mga pulis na nagpositibo sa 2019-Coronavirus disease (COVID-19).,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Cash aid mula DSWD isinugal, pamilya dakip","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",10. Quality of Life,"7. Law and Order, Crime and Justice"
"Travel ban sa mga Chinese nationals mula Hubei, iba pang lugar sa China na apektado ng NCoV ipinag-utos ni Duterte",9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
UMAPELA ang Catholic Bishops’ Conference of the Philippines sa mga Katoliko na itigil ang paggamit ng cellphone at iba pang gadget sa Semana Santa.,3. Morality,3. Morality,3. Morality,3. Morality
Mini-truck nabangin: 2 sugatan,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
INAASAHAN ng Kamara de Representantes ang pagsipot ni Solicitor General Jose Calida sa pagdinig ng prangkisa ng ABS-CBN 2.,13. Political,13. Political,5. Constitutionality and Jurisprudence,13. Political
"DepEd: Papasok na Kinder, Grade 1, 7, 11 pwede na magpalista",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Nagpatupad ng physical closure sa Municipal Trial Court in Cities (MTCC) Branch 1 ng San Jose City sa Nueva Ecija.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Pamilya ni FVR nangakong isasapubliko ang detalye ng burol at libing: We thank you all for respecting our privacy…,15. Other,13. Political,15. Other,15. Other
Nag-akusa kay Ping timbog sa estafa,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Pangulong Duterte handang magpaturok galing China o Russia,13. Political,13. Political,9. Health and Safety,13. Political
Nadagdagan pa ang mga lugar sa Quezon City na isinailalim sa Special Concern Lockdown Areas (SCLA).,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
KUNG hanggang 50 taon lamang umano maaaring mag-operate ang isang kompanya na kumukuha ng prangkisa sa Kongreso marami umano ang lumalabas sa Konstitusyon.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"P4.7-B halaga ng service contracting payouts naibigay na sa mga driver, operator",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Sen. Bong Revilla Jr. isinugod sa ospital,9. Health and Safety,9. Health and Safety,15. Other,9. Health and Safety
"DOH sa publiko: Wag bumili, kumain ng isda sa Taal Lake, Batangas",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NATAGPUANG paulutang-lutang kahapon ang katawan ng barangay chairman na nalunod sa Cagayan River sa Isabela noong kasagsagan ng bagyong Ambo noong Sabado.,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
SINABI ni Philippine Institute of Volcanology and Seismology (Phivolcs) director Renato Solidum,9. Health and Safety,9. Health and Safety,15. Other,9. Health and Safety
"AYON sa survey ng Publicus Asia, mas maraming Pilipino ang handang-handa nang mamasyal at magbakasyon ngayong panahon ng tag-init.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
Hiniling ni Ombudsman Samuel Martires sa Kongreso na amyendahan ang Republic Act 6713 o ang Code of Conduct and Ethical Standards of Public Official and Employees.,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
31 OFW nadagdag sa listahan ng nahawa ng COVID-19,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NAGPALABAS ng Show Cause Order ang Department of Interior and Local Government laban sa dalawang kapitan at dalawang kagawad ng barangay na lumabag umano sa ipinatutupad na Enhanced Community Quarantine.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Pamilya, 2 pa dakip sa drug den","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Kabilang ang Pilipinas sa 10 bansa sa mundo na nangunguna sa larangan ng pamumuhunan sa telekomunikasyon, ayon sa IMD World Digital Competitiveness Rankings of 2020.",1. Economic,10. Quality of Life,10. Quality of Life,10. Quality of Life
39 huli sa paglabag sa curfew,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Licensure exams sa Enero-Marso 2021, tuloy na",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
IPINASARA ni Governor Jonvic Remulla ang lahat ng mall sa Cavite dahil sa pag-abuso at hindi pagsunod sa social distancing guidelines ng mga pumunta sa mall noong weekend.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",9. Health and Safety,"7. Law and Order, Crime and Justice"
"Clinical trial ng WHO sa COVID-19 vaccine, simula na sa Disyembre",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
TULUYAN nang ipinatigil ng National  Commission ang pagpapalabas ng ABS-CBN sa TVplus at ipinasara ang subsidiary nito na SkyCable dahil sa expired na prangkisa.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Hiniling ng National  Commission (NTC) na paluwagin na rin ang proseso ng pagkuha ng permit para sa paglalatag ng fiber optic networks sa bansa.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"St. Lukes nanawagan sa COVID-19 survivors, magdonate ng dugo",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"China Telecom, ikatlong telco?",14. External Regulation and Reputation,15. Other,15. Other,15. Other
MAY kababalaghan na natagpuan sa construction site sa loob  ng Department of Justice sa Padre Faura sa Maynila.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"APAT sa bawat limang Filipino ang lumalabas ng bahay 1-3 beses kada linggo, ayon sa survey ng Social Weather Stations.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"Pangako ni Duterte sa taas-suweldo sa mga guro, napako na nga ba?",13. Political,10. Quality of Life,6. Policy Prescription and Evaluation,False
"Hindi bababa sa 2,000 ang naitalang bagong kaso ng Coronavirus Disease o COVID-19 sa Pilipinas.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Doktora pisak sa truck,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Mahigit 4,000 muli ang nadagdag sa bilang ng mga tinamaan ng Coronavirus Disease o COVID-19 sa Pilipinas.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Marikina nakahanap na ng bagong lokasyon ng COVID-19 testing center,9. Health and Safety,2. Capacity and Resources,9. Health and Safety,9. Health and Safety
Covid patient nag-suicide sa ospital,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Duterte inatasan ang DILG na imbestigahan ang mga sangkot sa sabong at inuman,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Tag-ulan nagsimula na- PAGASA,9. Health and Safety,10. Quality of Life,9. Health and Safety,9. Health and Safety
Online payout ipatutupad ng QC,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,10. Quality of Life,6. Policy Prescription and Evaluation
"3 taon matapos ang Marawi siege, mga residente nasa temporary shelters pa rin",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Mahabang DSWD process, hindi COVID-19, ang papatay sa mahihirap- Cayetano",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Ayaw patalo sa Brazil: Kapitan at kanyang tresurera, nag-doggy sa Zoom meeting sa Dasmariñas",15. Other,15. Other,15. Other,15. Other
Tinatapos pa ng National Bureau of Investigation (NBI) ang forensic at criminal investigation ukol sa pagkamatay ng 23-anyos na flight attendant na si Christine Dacera.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
FDA: Sinovac puwede nang iturok sa mga senior ayon sa vaccine experts,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nograles tiniyak ang kalidad ng COVID-19 testing kits,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Ibinahagi ni Senator Christopher Go na sumulat sa kanya si Russian Ambassador to the Philippines Igor Khovaev at ibinahagi ang positive development sa iniimbento nilang bakuna laban sa COVID 19.,14. External Regulation and Reputation,14. External Regulation and Reputation,9. Health and Safety,14. External Regulation and Reputation
"May handog na libreng sakay sa Light Rail Transit Line 2 ngayong araw ng Miyerkules, December 30.",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
MAYROON umanong hakbang upang mapaaga ang pagtanggal kay Speaker Alan Peter Cayetano.,13. Political,13. Political,13. Political,13. Political
"OFWs na nahawa ng COVID nadagdagan ng 25, nasawi tumaas ng 17",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Kinalampag na ng Alliance of Concerned Teachers (ACT) si Pangulong Rodrigo Duterte sa pangako nito na dodoblehin ang suweldo ng mga pampubikong guro.,12. Public Opinion,4. Fairness and Equality,12. Public Opinion,12. Public Opinion
"Brgy. chair niratrat sa COVID outpost, patay","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Aprubado na sa ikatlo at huling pagbasa ng Kamara de Representantes ang panukalang P4.506 trillion 2021 national budget.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,2. Capacity and Resources,6. Policy Prescription and Evaluation
UMAPELA si House Majority Leader at Leyte Rep. Martin Romualdez sa Kamara de Representantes na maglaan ng pondo upang maiuwi sa bansa ang mga overseas Filipino workers na nawalan ng trabaho.,6. Policy Prescription and Evaluation,2. Capacity and Resources,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Mga komite binigyan ng kapangyarihan na mag-hearing kahit walang sesyon,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
